Unnamed: 0.1,Unnamed: 0,Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,PK_x,PKatt_x,CrdY,CrdR,Gls90,Ast90,G+A,Gls+Ast,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Tackle,TackleW,TakleD,Tkl%,Press,Succ_x,%,Blocks,ShotB,PassB,Int,Clr,Passes Completed,Passes Attempted,Cmp%,Touches,Succ_y,Att,Succ%,#Pl
375,377,Angeliño,20000000,ESP,DF,RB Leipzig,Bundesliga,22.0,13.0,12.0,1095.0,1.0,2.0,0.0,0.0,2.0,0.0,0.08,0.16,0.24,3.0,0.0,0.0,5.0,2.0,0.0,40.0,0.41,0.16,0.2,0.5,14.0,8.0,7.0,35.0,129.0,52.0,40.31,35.0,1.0,34.0,19.0,24.0,573.0,758.0,75.59,891.0,21.0,27.0,77.78,22.0
376,378,Nemanja Maksimovic,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,379,Robin Gosens,20000000,GER,DF,Atalanta,Serie A,25.0,53.0,46.0,3871.0,11.0,7.0,0.0,0.0,4.0,0.0,0.26,0.16,0.42,18.0,0.0,0.0,68.0,27.0,0.0,39.71,1.58,0.63,0.16,0.41,110.0,60.0,44.0,33.3,571.0,186.0,32.57,99.0,10.0,89.0,66.0,84.0,1856.0,2427.0,76.47,2965.0,41.0,85.0,48.24,49.0
378,380,Allan Saint-Maximin,20000000,FRA,"MF,FW",Newcastle Utd,Premier Leauge,22.0,55.0,52.0,4397.0,8.0,7.0,1.0,2.0,2.0,0.0,0.16,0.14,0.3,15.0,0.0,0.0,110.0,33.0,0.0,30.0,2.25,0.68,0.07,0.24,26.0,16.0,5.0,18.2,544.0,126.0,23.16,36.0,3.0,33.0,14.0,9.0,1009.0,1372.0,73.54,2127.0,255.0,394.0,64.72,277.0
379,381,Aleksandr Golovin,20000000,RUS,MF,Monaco,Ligue1,23.0,55.0,51.0,4351.0,6.0,7.0,0.0,0.0,13.0,2.0,0.12,0.14,0.26,13.0,0.0,0.0,87.0,29.0,1.0,33.33,1.8,0.6,0.07,0.21,91.0,61.0,26.0,21.6,1298.0,324.0,24.96,75.0,2.0,73.0,48.0,25.0,1761.0,2276.0,77.37,2835.0,98.0,151.0,64.9,104.0
380,382,Jefferson Lerma,20000000,COL,MF,Bournemouth,Premier Leauge,24.0,57.0,54.0,4678.0,3.0,2.0,0.0,0.0,23.0,1.0,0.06,0.04,0.1,5.0,0.0,0.0,59.0,10.0,0.0,16.95,1.14,0.19,0.05,0.3,113.0,76.0,37.0,48.1,1007.0,269.0,26.71,91.0,29.0,62.0,101.0,137.0,2290.0,2776.0,82.49,3353.0,50.0,64.0,78.12,52.0
381,383,Suat Serdar,20000000,GER,MF,Schalke 04,Bundesliga,22.0,46.0,39.0,3328.0,9.0,1.0,0.0,0.0,6.0,2.0,0.24,0.03,0.27,10.0,0.0,0.0,65.0,23.0,0.0,35.38,1.76,0.62,0.14,0.39,121.0,81.0,26.0,25.4,837.0,248.0,29.63,74.0,12.0,62.0,50.0,18.0,719.0,960.0,74.9,1499.0,81.0,134.0,60.45,89.0
382,384,Gelson Martins,20000000,POR,WB,Monaco,Ligue1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,385,Gelson Martins,20000000,POR,WB,Monaco,Ligue1,24.0,37.0,36.0,3063.0,8.0,3.0,0.0,0.0,4.0,1.0,0.24,0.09,0.33,11.0,0.0,0.0,57.0,26.0,0.0,45.61,1.67,0.76,0.14,0.31,57.0,42.0,13.0,22.7,596.0,164.0,27.52,28.0,3.0,25.0,26.0,13.0,1014.0,1316.0,77.05,1740.0,90.0,156.0,57.69,95.0
384,386,Rodrigo de Paul,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
